symbol,description,sector,value,profit_loss,percent_change
OMF,ONEMAIN HOLDINGS INC,Financials,106.82476736538733,3.624714125213421,3.393140200170356
OOMA,OOMA INC,Technology,61.49048862486945,4.181804021149524,6.800733112825225
PAC,GRUPO AEROPORTUARIO PAC-ADR,Industrials,34.784292654055456,-1.9687936668181425,-5.66000776959483
PBA,PEMBINA PIPELINE CORP,Energy,14.964693431611101,-2.4248781726458364,-16.203994981437944
PEP,PEPSICO INC,Consumer Non-Cyc,28.11260163533689,1.8398001248260292,6.544396526123868
PFE,PFIZER INC,Healthcare,47.70239325765887,-3.8612169680821786,-8.094388361662002
PG,PROCTER & GAMBLE CO/THE,Consumer Non-Cyc,44.15271155064153,0.1702359069524995,0.38556161325957344
PPL,PPL CORPORATION,Utilities,15.570844150319987,-1.5444207157584005,-9.91867043847242
PSEC,PROSPECT CAPITAL CORP,Financials,56.18384803361117,-9.01156823945753,-16.03942868787928
PSX,PHILLIPS 66,Energy,32.88687269753456,9.274986949238889,28.202702745689194
PXD,PIONEER NATURAL RESOURCES CO,Energy,79.20966190899185,-2.635575975266534,-3.327341528480056
PYPL,PAYPAL HOLDINGS INC,Technology,89.18998937798914,-11.418357969477894,-12.802286499986721
RC,READY CAPITAL CORP,Real Estate,61.25777112689225,0.4777628318994222,0.7799219970144875
SBUX,STARBUCKS CORP,Consumer Cyclicals,33.95596696701465,10.105447570798539,29.760447053724388
SCHW,SCHWAB (CHARLES) CORP,Financials,57.73335487641478,-8.221043694748413,-14.239677760536438
SLB,SCHLUMBERGER LTD,Energy,64.4288426378553,23.886694904978008,37.07453669351393
SLG,SL GREEN REALTY CORP,Real Estate,33.22150819786128,2.264379549243493,6.816004667088739
SNPS,SYNOPSYS INC,Technology,37.26436528468746,16.84541932891568,45.20516906761253
SWK,STANLEY BLACK & DECKER INC,Industrials,41.14456541327857,-2.726755986525493,-6.6272567449345035
T,AT&T INC,Technology,72.33743570631965,-12.19862904724255,-16.863507709572893
TAK,TAKEDA PHARMACEUTIC-SP ADR,Healthcare,31.50037381767413,2.00336969530222,6.359828321079084
TAP,MOLSON COORS BEVERAGE CO - B,Consumer Non-Cyc,24.731227374110915,3.3078546044974773,13.375214074333396
TD,TORONTO-DOMINION BANK,Financials,25.12884000152087,0.6527999326634771,2.5978116483847553
TPR,TAPESTRY INC,Consumer Cyclicals,18.61561040240846,1.8390169025557381,9.878896597007685
TRV,TRAVELERS COS INC/THE,Financials,23.646134172385494,-1.140538180718961,-4.823360014809135
TSLA,TESLA INC,Consumer Cyclicals,82.03985829475783,10.955742023100935,13.35416985209613
TSM,TAIWAN SEMICONDUCTOR-SP ADR,Technology,35.3103633692165,1.2904805095855192,3.6546792115726494
TSN,TYSON FOODS INC-CL A,Consumer Non-Cyc,58.23217799080182,-4.246277391831707,-7.291977628764694
UPS,UNITED PARCEL SERVICE-CL B,Industrials,48.5921557805343,-0.8968101468189955,-1.8455862523766682
URI,UNITED RENTALS INC,Industrials,25.599023884702856,7.546832474889196,29.480938448590365
VALE,VALE SA-SP ADR,Basic Materials,27.99554362991014,-4.347461725516808,-15.529120573575955
VFC,VF CORP,Consumer Cyclicals,41.2573177609523,-13.768831402935133,-33.37306482867518
VLO,VALERO ENERGY CORP,Energy,44.91076334213722,9.240315943010259,20.574836086877628
VNO,VORNADO REALTY TRUST,Real Estate,41.21031203633337,-15.703969912444638,-38.106893970128446
VTRS,VIATRIS INC,Healthcare,30.292687748045967,-1.1111198567107714,-3.667947413423044
VZ,VERIZON COMMUNICATIONS INC,Technology,99.52545515173493,-10.714381550369513,-10.765468526654349
WBA,WALGREENS BOOTS ALLIANCE INC,Consumer Non-Cyc,29.473467536080687,-1.9161567254896208,-6.501293826876357
WMB,WILLIAMS COS INC,Energy,31.736437560535464,-0.15977871962842052,-0.5034551194463829
WMT,WALMART INC,Consumer Non-Cyc,42.82677268308993,6.479065140854726,15.128539310675105
XOM,EXXON MOBIL CORP,Energy,42.67801413480764,7.935488288041184,18.593855522366262
